date,promo_rate,tail_mean_h4
2022-03-01,0.200000,0.4435
2022-03-02,0.200000,0.2185
2022-03-03,0.459459,-0.0729
2022-03-04,0.075000,-0.1667
2022-03-07,0.280000,0.0018
2022-03-08,0.156250,-1.6598
2022-03-09,0.533333,2.3637
2022-03-10,0.275862,0.0788
2022-03-11,0.100000,0.8601
2022-03-14,0.169811,-0.9527
2022-03-15,0.136364,-1.9559
2022-03-16,0.357143,0.6363
2022-03-17,0.116505,-0.1183
2022-03-18,0.104478,-0.0921
2022-03-21,0.273973,0.7578
2022-03-22,0.153846,-0.0350
2022-03-23,0.148936,0.0952
2022-03-24,0.093023,-0.4010
2022-03-25,0.214286,-0.4313
2022-03-28,0.145833,-0.1136
2022-03-29,0.162162,-0.4091
2022-03-30,0.138889,0.2110
2022-03-31,0.090909,0.2049
2022-04-01,0.193548,0.0931
2022-04-06,0.187500,0.1736
2022-04-07,0.100000,-0.5525
2022-04-08,0.437500,-0.1857
2022-04-11,0.219512,-0.7039
2022-04-12,0.371429,0.7227
2022-04-13,0.104478,-1.1865
2022-04-14,0.235294,-0.3744
2022-04-15,0.108696,-0.6036
2022-04-18,0.333333,0.0621
2022-04-19,0.137931,0.4736
2022-04-20,0.138889,-0.1475
2022-04-21,0.200000,-0.6691
2022-04-22,0.526316,-1.0870
2022-04-25,0.118644,-1.3265
2022-04-26,0.071429,-1.7964
2022-04-27,0.228571,0.6536
2022-04-28,0.088710,0.3392
2022-04-29,0.333333,-0.0031
2022-05-05,0.160714,-0.3679
2022-05-06,0.101010,-0.1927
2022-05-09,0.133333,0.4337
2022-05-10,0.185567,0.3008
2022-05-11,0.119403,-1.4032
2022-05-12,0.053571,0.8754
2022-05-13,0.315789,0.2505
2022-05-16,0.223881,-0.1607
2022-05-17,0.068966,0.3744
2022-05-18,0.295455,-0.5655
2022-05-19,0.159420,0.6221
2022-05-20,0.184211,0.2896
2022-05-23,0.220339,0.1731
2022-05-24,0.131148,-1.6818
2022-05-25,0.434783,0.2546
2022-05-26,0.169014,0.0694
2022-05-27,0.261905,0.1861
2022-05-30,0.269231,0.5755
2022-05-31,0.206349,0.4620
2022-06-01,0.095238,0.4495
2022-06-02,0.200000,0.1131
2022-06-06,0.189655,0.3063
2022-06-07,0.158730,0.7007
2022-06-08,0.179487,0.5957
2022-06-09,0.177778,0.3371
2022-06-10,0.120000,0.0497
2022-06-13,0.141026,0.6881
2022-06-14,0.139535,1.2300
2022-06-15,0.200000,-1.2988
2022-06-16,0.157895,0.1984
2022-06-17,0.085106,0.4138
2022-06-20,0.333333,0.0198
2022-06-21,0.093750,0.4421
2022-06-22,0.333333,-0.9316
2022-06-23,0.250000,0.4895
2022-06-24,0.179487,0.0682
2022-06-27,0.188406,0.1580
2022-06-28,0.274194,0.4422
2022-06-29,0.116883,-0.9692
2022-06-30,0.100000,-0.1442
2022-07-01,0.066667,0.1071
2022-07-04,0.204082,0.3743
2022-07-05,0.083333,1.0745
2022-07-06,0.137931,0.3450
2022-07-07,0.200000,-0.0723
2022-07-08,0.155172,-0.0350
2022-07-11,0.195122,0.5873
2022-07-12,0.222222,-0.3469
2022-07-13,0.448276,0.0572
2022-07-14,0.135593,-0.0554
2022-07-15,0.122449,-0.8675
2022-07-18,0.425000,0.1263
2022-07-19,0.177215,0.1946
2022-07-20,0.214286,0.2366
2022-07-21,0.150943,-0.5627
2022-07-22,0.179487,0.5766
2022-07-25,0.076923,0.1132
2022-07-26,0.222222,0.4409
2022-07-27,0.255814,0.1107
2022-07-28,0.241379,-0.1539
2022-07-29,0.140000,-0.3637
2022-08-01,0.175000,0.1683
2022-08-02,0.178571,-0.5525
2022-08-03,0.200000,-1.5390
2022-08-04,0.173913,1.0532
2022-08-05,0.078431,0.6288
2022-08-08,0.188679,0.3759
2022-08-09,0.116883,0.3408
2022-08-10,0.139535,0.0785
2022-08-11,0.152542,0.1578
2022-08-12,0.108696,-0.2123
2022-08-15,0.179487,0.0728
2022-08-16,0.211538,0.0812
2022-08-17,0.115385,0.0172
2022-08-18,0.187500,0.0201
2022-08-19,0.171875,-0.6409
2022-08-22,0.193548,0.2717
2022-08-23,0.127660,0.2785
2022-08-24,0.140000,-0.5240
2022-08-25,0.400000,0.8501
2022-08-26,0.139535,-0.5139
2022-08-29,0.185185,0.1161
2022-08-30,0.068182,0.3080
2022-08-31,0.148148,-0.8320
2022-09-01,0.363636,-0.3742
2022-09-02,0.225806,0.2258
2022-09-05,0.106383,0.4882
2022-09-06,0.125000,0.4172
2022-09-07,0.069767,0.2571
2022-09-08,0.155556,-0.2204
2022-09-09,0.166667,0.0497
2022-09-13,0.185185,0.1126
2022-09-14,0.133333,0.2358
2022-09-15,0.190476,0.7264
2022-09-16,0.187500,-1.0126
2022-09-19,0.210526,0.4087
2022-09-20,0.190476,0.0200
2022-09-21,0.104167,-0.0123
2022-09-22,0.034483,-0.0509
2022-09-23,0.066667,-0.4906
2022-09-26,0.090909,-0.6951
2022-09-27,0.225806,0.8302
2022-09-28,0.107143,-0.9225
2022-09-29,0.176471,-0.1841
2022-09-30,0.230769,-0.8376
2022-10-10,0.300000,-0.4093
2022-10-11,0.166667,0.0116
2022-10-12,0.270270,1.7246
2022-10-13,0.245614,-0.4926
2022-10-14,0.177778,0.1632
2022-10-17,0.109589,0.1703
2022-10-18,0.105263,-0.0573
2022-10-19,0.152174,-0.4007
2022-10-20,0.181818,-0.6149
2022-10-21,0.083333,-0.2839
2022-10-24,0.125000,-0.2246
2022-10-25,0.320000,-0.1599
2022-10-26,0.052632,0.4507
2022-10-27,0.159420,-0.7947
2022-10-28,0.060606,-1.1212
2022-10-31,0.190476,0.0418
2022-11-01,0.133333,1.0469
2022-11-02,0.169231,-0.4211
2022-11-03,0.096774,0.1470
2022-11-04,0.172414,0.0643
2022-11-07,0.211538,0.4459
2022-11-08,0.184211,0.5034
2022-11-09,0.227273,-0.0749
2022-11-10,0.310345,-0.0790
2022-11-11,0.205128,-1.2325
2022-11-14,0.204545,0.3394
2022-11-15,0.250000,0.4309
2022-11-16,0.120690,0.0292
